Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
338,0,0,0,0,0,0,0
349,-1352,16296,-1156,876,1250,-1829,26
358,-1456,15244,-812,868,-2888,-318,832
367,-1320,14348,-284,863,-509,957,1499
376,-1228,14280,260,881,1889,1093,1552
385,-960,14960,580,954,3707,1351,1600
394,-792,15868,176,869,4325,1561,1585
403,-696,16736,-16,924,3758,1741,1583
412,-676,17120,-216,891,2297,1939,1538
421,-712,16840,32,954,450,2195,1489
520,-364,17748,-1224,951,1256,3460,579
529,32,17308,-1608,856,26,3481,414
538,208,16592,-2020,850,-380,3524,259
547,-36,15900,-1940,850,89,3561,143
556,-168,15328,-2324,850,1613,3589,-18
565,132,15284,-2364,945,3414,3633,-207
574,476,15592,-2588,927,4765,3672,-326
583,704,16116,-2560,870,5453,3661,-556
592,840,16824,-2788,898,5215,3634,-795
601,2036,17864,-6236,864,2073,3508,-891
700,1504,17952,-1444,866,4619,-104,320
709,1252,18260,-1176,866,3133,245,266
718,964,18292,-852,853,1400,517,107
727,536,18564,-1568,850,-562,868,-85
736,344,18356,-1816,848,-2554,1185,-388
745,300,19276,-2744,845,-4134,1343,-801
754,-196,18092,-2468,844,-4904,1431,-1287
763,-568,18236,-2416,853,-4990,1693,-1734
772,-760,18132,-2224,849,-4537,1818,-2231
781,-920,18372,-2604,845,-3934,1961,-2728
880,-1928,10520,-1448,845,-5091,793,-3561
889,-1424,11932,-1916,845,-1423,668,-3116
898,-672,14892,-212,849,33,634,-2856
907,-1380,16188,608,853,-844,528,-2588
916,-1260,17144,-316,850,-2908,537,-2366
925,-580,17292,-380,851,-4860,540,-2171
934,64,16608,-612,846,-6565,568,-2034
943,224,15644,-576,843,-7582,661,-1884
952,172,14080,676,844,-7578,843,-1650
961,-804,11980,1460,852,-6018,1192,-1299
1060,-2572,14060,140,849,-6260,1931,-904
1069,-2048,13228,116,849,-3820,1914,-911
1078,-1408,12684,352,853,-1154,2006,-893
1087,-424,13072,-372,840,883,2060,-846
1096,64,13996,264,839,1716,1970,-866
1105,204,14944,1568,839,888,2040,-928
1114,776,15768,348,845,-1346,2110,-1061
1123,500,14292,-804,840,-2590,2219,-1193
1132,-188,13140,-1032,841,-1883,2270,-1236
1141,-276,14492,-1520,857,-769,2366,-1318
1240,-1012,19132,10284,858,95,898,-1293
1249,-2052,12248,-7896,851,2189,1587,-1291
1258,-836,15416,-7220,862,4147,1656,-1481
1267,-2476,17348,704,854,6447,1605,-1385
1276,-1064,18928,-1084,859,5657,1901,-1536
1285,-1688,19352,-356,883,2968,1728,-1579
1294,-2976,19720,-940,867,-737,1800,-1559
1303,-3640,19432,-1196,859,-3619,1724,-1483
1312,-3864,19080,-1488,857,-5514,1647,-1394
1321,-4324,17628,-1592,865,-6008,1735,-1207
1420,-6452,16828,-560,863,-8801,2571,4067
1429,-6032,16960,-204,863,-7888,2556,4674
1438,-4832,17108,128,863,-6547,2519,5359
1447,-3232,17264,504,863,-5349,2594,6054
1456,-1828,17180,244,870,-4653,2766,6657
1465,-1024,16668,424,868,-4712,2892,7128
