Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
320,0,0,0,0,0,0,0
331,-2740,-16036,-2628,4,8062,-2434,3378
340,-2816,-15676,-2388,2,3709,-1046,4678
349,-3136,-15704,-2268,1,3490,94,5364
358,-3568,-15816,-2708,1,2678,66,5384
367,-3620,-15900,-2380,3,1988,49,5372
376,-3800,-15696,-2152,0,1296,150,5370
385,-3768,-15640,-2064,3,807,113,5362
394,-3900,-15676,-2108,1,495,99,5335
403,-4216,-15336,-3068,4,475,186,5300
502,-5116,-13232,-1240,0,1347,-1591,2949
511,-5060,-14424,-712,0,-701,-1766,2764
520,-5248,-15096,-1352,1879,-2315,-1848,2639
529,-5756,-15472,-1380,1811,-3198,-1869,2539
538,-6116,-15764,-1204,1818,-3247,-1927,2394
547,-5980,-16064,-1164,1742,-2780,-1915,2320
556,-5452,-16068,-1088,1694,-1885,-1858,2196
565,-4972,-16056,-1040,1648,-684,-1903,2079
574,-4876,-16188,-1348,1644,710,-1814,1975
583,-4944,-15920,-1592,1602,2032,-1757,1893
682,-4940,-14264,-1308,1621,1282,-2422,1262
691,-5216,-14332,-936,2,1741,-2498,1244
700,-5216,-14700,-844,0,2209,-2487,1255
709,-5220,-15192,-868,2,2870,-2570,1237
718,-5092,-15364,-712,4,3766,-2680,1252
727,-5168,-15248,-596,2,4534,-2670,1285
736,-5232,-14632,-468,2,5061,-2727,1293
745,-5508,-14132,-616,3,5186,-2819,1304
754,-5476,-13612,-76,3,4593,-2907,1283
763,-5084,-13480,228,2,3394,-2977,1269
862,-5956,-13572,2876,2,3279,-2291,1537
871,-5952,-13920,3244,2,2106,-2162,1491
880,-5936,-14124,3456,2,1295,-1994,1455
889,-6112,-14552,3524,2,447,-1795,1461
898,-6488,-14612,3168,1,-57,-1624,1410
907,-6520,-14288,2920,2,-298,-1484,1369
916,-6380,-14112,2924,2,-476,-1316,1384
925,-6280,-14460,2584,1,-724,-1152,1391
934,-6236,-15252,2268,2375,-690,-1023,1432
943,-6540,-15440,2264,1991,-273,-842,1585
1042,-7060,-14204,3480,1991,3759,354,2785
1051,-7116,-14176,3468,1991,3535,426,3032
1060,-7040,-14220,3372,1405,3804,487,3153
1069,-7144,-14136,3400,1421,4204,603,3194
1078,-7416,-14188,3348,1385,4725,761,3219
1087,-7524,-14032,3336,1384,5210,767,3265
1096,-7536,-14156,3384,1361,5481,795,3236
1105,-7912,-14164,3108,1331,5744,867,3265
1114,-8332,-13880,2944,1328,5972,964,3320
1123,-8612,-13396,3004,1310,5803,899,3135
1222,-9360,-12548,4028,1317,6999,748,1896
1231,-10220,-12612,3872,1317,7035,565,1798
1240,-10108,-12188,3884,1228,7191,319,1677
1249,-9568,-11812,4320,1218,7322,196,1577
1258,-9416,-12012,4552,1217,7531,38,1387
1267,-9648,-12536,4752,1188,8025,-111,1197
1276,-10072,-13048,5060,1184,8900,-277,1078
1285,-9992,-13280,5604,1181,9982,-319,1018
1294,-10260,-13656,5784,1167,11459,-472,912
1303,-10456,-14112,5812,1162,13060,-636,827
1402,-11360,-8468,7560,1168,32767,-3044,1274
1411,-10740,-5612,8504,1119,32767,-3374,1389
1420,-10696,-4448,8168,1101,32767,-3537,1482
1429,-9964,-736,9648,1104,30793,-4024,1843
1438,-11560,-2364,10644,1108,26919,-4111,1498
1447,-10536,-904,11316,1109,22654,-4494,1521
1456,-9644,-1748,13780,1095,19659,-4693,1537
1465,-9036,-2716,12880,1088,18006,-5012,1534
1474,-8040,-3960,10940,1114,17858,-5346,1547
1483,-7780,-5432,12556,1077,18818,-5621,1589
1582,-7256,-2376,15224,1085,8471,-8821,3806
1591,-7400,-1844,15448,1033,8397,-8936,4042
1600,-7260,-2600,15384,1038,8260,-9087,4171
1609,-7212,-1636,15360,1041,8109,-9265,4433
1618,-6656,-1260,16028,1044,7678,-9257,4656
1627,-5900,-436,15072,1018,7425,-9304,4786
1636,-5256,-524,15040,1026,7290,-9254,4840
1645,-4828,-740,15960,1027,7170,-9065,4951
1654,-5392,-88,16232,1015,6843,-8942,5076
1663,-5924,424,17564,1019,6832,-8961,5206
1762,-3948,2068,16396,1010,2517,-5588,2827
1771,-4116,1092,18288,1002,1918,-5397,2564
1780,-4024,-372,14404,1011,997,-5149,2081
1789,-3696,1720,16832,1019,1738,-4943,1830
1798,-3388,1364,16752,995,2040,-4698,1501
1807,-3028,1332,16136,1001,2000,-4470,1221
1816,-3020,1512,16396,978,1848,-4284,931
1825,-3108,1420,16440,985,1731,-4099,692
1834,-2936,1664,16176,981,1589,-3830,488
1843,-2556,1768,16308,970,1523,-3652,310
1942,-1728,1592,17304,977,2471,-1578,-324
1951,-1584,1736,17408,1038,2667,-1321,-305
1960,-1804,1952,17728,974,2592,-1100,-302
1969,-2052,2396,18080,960,2475,-951,-312
1978,-2272,2444,17792,951,2342,-767,-330
1987,-2116,2600,17896,952,2013,-533,-314
1996,-1872,2608,17660,945,1556,-387,-308
2005,-1660,2516,17520,944,1239,-219,-335
2014,-1488,2532,17340,938,1258,-6,-303
2023,-1488,2688,17180,944,1460,121,-302
2122,-2128,3244,16112,951,1520,749,-414
2131,-2004,3452,16140,915,1480,753,-394
2140,-1996,3560,16140,987,1206,762,-399
2149,-2080,3456,16348,922,910,713,-413
2158,-2016,3076,16536,927,1053,689,-449
2167,-2220,3056,16628,919,1275,701,-441
2176,-2248,3356,16548,917,1400,687,-459
2185,-2304,3356,16224,917,1498,639,-484
2194,-2396,3072,16440,929,1475,628,-481
2203,-2624,3164,16544,908,1379,629,-458
2302,-2348,3832,16412,905,-1621,400,-885
2311,-2748,4500,16388,908,-2007,299,-941
2320,-2792,4176,16620,976,-2446,210,-1057
2329,-2636,3848,16920,893,-2871,239,-1156
2338,-2908,3716,16880,891,-2905,155,-1288
2347,-3016,3632,16688,886,-3131,102,-1637
2356,-3044,3380,17096,897,-3795,67,-1689
2365,-3128,3768,16840,885,-5148,36,-1842
2374,-3236,2824,17360,885,-6130,50,-1508
2383,-2640,3388,17460,885,-6745,87,-1413
2482,-2120,5556,18304,884,8955,968,234
2491,-1688,6472,17616,865,7561,728,214
2500,-1724,6244,17532,870,5517,722,409
2509,-1544,5312,17780,882,3870,649,461
2518,-2216,3840,17076,879,3596,512,523
2527,-2552,2776,16436,874,4238,513,606
2536,-2512,2268,16040,867,5187,342,824
2545,-2848,2544,16200,872,5786,260,920
2554,-3248,3160,16052,856,5589,190,1045
2563,-3604,3328,15516,854,4597,124,1182
2662,-3196,4176,17900,848,4445,-647,1537
2671,-3368,4836,17052,859,5100,-482,1322
2680,-3220,3816,16416,843,6330,-312,1205
2689,-3280,4324,16032,855,7033,-324,1044
2698,-3240,6172,15636,861,6926,-305,846
2707,-2924,6564,15056,858,6063,-353,683
2716,-2412,6800,14816,845,4347,-439,559
2725,-2524,6952,14364,948,2311,-553,440
2734,-2608,6948,15144,852,348,-653,311
2743,-2172,13528,17752,845,-2534,-279,-389
2842,-2444,4760,16108,843,2013,272,-2174
2851,-1868,4452,15836,829,1871,236,-2175
2860,-1900,5032,15556,837,1715,225,-2183
2869,-1808,5940,15504,818,804,300,-2169
2878,-1912,6356,15272,832,-698,275,-2159
2887,-2112,6180,15232,847,-2016,198,-2157
2896,-2568,5972,15368,820,-2983,277,-2139
2905,-2532,5756,15568,830,-3647,310,-2090
2914,-2392,5612,15688,828,-3717,287,-2088
2923,-2232,5136,15588,825,-3381,316,-2039
3022,-3600,4216,16940,827,-2615,224,-1651
3031,-3596,4180,17036,814,-2968,153,-1594
3040,-3664,4144,17008,798,-3138,86,-1604
3049,-3648,3928,17064,803,-3052,41,-1501
3058,-3788,3828,16908,800,-2882,57,-1428
3067,-3740,4264,16864,804,-2654,-8,-1389
3076,-3364,4580,16948,799,-2300,7,-1349
3085,-3172,4508,17272,814,-1976,31,-1302
3094,-2796,4744,16028,797,-1420,87,-1288
3103,-2816,4924,15872,785,-1931,12,-1306
3202,-3072,4744,16712,803,2160,51,-441
3211,-2904,5192,16360,803,1898,-18,-384
3220,-2784,5324,16300,800,1366,-69,-300
3229,-2804,5136,16360,792,585,-93,-251
3238,-3324,5092,16388,794,-240,-94,-167
3247,-3308,4868,16728,797,-760,-164,-125
3256,-3256,4148,16816,789,-746,-119,-55
3265,-3288,3936,16836,780,-407,-71,64
3274,-3108,3932,16696,779,136,-109,104
3283,-3252,3956,16664,788,716,-91,170
3382,-2912,4864,16256,784,-625,-278,265
3391,-2820,4408,16028,784,-543,-297,207
3400,-2856,4680,16092,784,-472,-355,147
3409,-2788,4640,15960,784,-483,-381,115
3418,-2936,4572,16096,774,-533,-312,108
3427,-2856,4616,15988,769,-453,-338,78
3436,-2856,4516,16112,770,-208,-384,51
3445,-2664,4452,16116,770,42,-350,74
3454,-2556,4688,16068,777,143,-311,71
3463,-2200,4892,16016,760,224,-376,67
3562,-2024,4760,16304,749,-38,-83,229
3571,-2252,4968,16396,749,-503,22,226
3580,-2712,4920,16672,749,-1231,34,236
3589,-3040,4932,16900,762,-1733,67,206
3598,-2956,4768,16664,762,-1773,116,232
3607,-2412,4304,16540,768,-1477,210,270
3616,-2148,4120,16612,754,-870,192,258
3625,-2228,4288,16552,759,-372,272,328
3634,-2288,4912,16444,763,-379,326,355
3643,-2388,5280,16488,762,-766,304,379
3742,-2696,4268,16796,755,-1900,186,670
3751,-2580,4300,16756,787,-1962,226,705
3760,-2348,4128,17032,750,-1900,140,740
3769,-2228,4108,17044,752,-1690,82,744
3778,-2264,4216,16968,739,-1613,109,721
3787,-2196,4356,17060,746,-1593,83,701
3796,-2248,4256,17120,748,-1508,14,657
3805,-2264,4192,17224,742,-1304,-25,593
3814,-2416,4196,17220,740,-1004,14,549
3823,-2260,4012,17312,744,-429,-40,476
3922,-2588,4676,16424,748,-1859,-112,-433
3931,-2264,4612,16612,737,-2370,-84,-443
3940,-2008,4312,16748,739,-2735,-97,-487
3949,-1876,4320,16708,733,-2773,-116,-522
3958,-1632,3956,16524,737,-2564,-130,-549
3967,-1904,3740,16668,721,-2365,-73,-559
3976,-2232,4076,16972,715,-2183,-58,-643
3985,-2420,3960,17044,724,-1805,-88,-711
3994,-2228,3688,17228,737,-1400,-48,-729
4003,-2176,3444,17368,738,-1012,-17,-738
4102,-1956,3920,16196,739,-47,-108,-886
4111,-2380,4156,16512,702,-23,-113,-906
4120,-2600,4260,16456,711,-377,-22,-887
4129,-2728,4428,16504,709,-729,-75,-937
4138,-2600,4420,16260,699,-1069,-134,-947
4147,-2552,4200,16168,711,-1504,-87,-934
4156,-2392,3892,16236,727,-1833,-101,-941
4165,-2344,3776,16360,718,-1965,-135,-972
4174,-2596,3708,16592,710,-2030,-147,-966
4183,-2536,3636,16672,697,-2175,-54,-941
4282,-2160,3328,17200,701,-18,182,-678
4291,-2432,3376,17100,699,213,173,-658
4300,-2456,3724,17252,701,275,186,-620
4309,-2448,3844,17108,708,88,210,-562
4318,-2468,3932,17056,699,-62,214,-492
4327,-2396,3624,16948,694,-39,150,-486
4336,-2240,3568,16568,689,63,177,-407
4345,-2268,3688,16680,691,106,190,-324
4354,-2264,3704,16612,721,151,104,-272
4363,-2232,3724,16696,699,126,75,-238
4462,-2464,3608,16468,704,-942,-61,-293
4471,-2584,3552,16660,682,-876,-141,-338
4480,-2436,3428,16340,683,-526,-112,-396
4489,-2176,3308,16144,686,-201,-112,-407
4498,-1872,3432,15936,705,36,-136,-445
4507,-1936,3564,15820,690,-14,-151,-485
4516,-1932,3728,15896,686,-489,-100,-498
4525,-2104,3672,15720,688,-1169,-167,-524
4534,-1936,3432,15540,676,-1826,-219,-593
4543,-1808,3484,15152,689,-2607,-167,-575
4642,-1320,1212,15176,689,-8710,-693,-30
4651,-1444,1180,15104,693,-9701,-793,-9
4660,-1652,1124,14748,686,-10715,-884,-31
4669,-1620,588,13968,673,-11734,-949,-28
4678,-1400,-40,14116,685,-12693,-997,-38
4687,-1312,-464,14276,675,-13573,-1099,-46
4696,-980,-536,14516,669,-14703,-1161,2
4705,-524,-552,15188,730,-15998,-1129,72
4714,-200,-720,15492,681,-17430,-1100,137
4723,-284,-1148,15180,678,-18571,-1066,154
4822,-1840,-3032,16924,670,-19391,-168,-2438
4831,-2048,-4876,17396,667,-19813,-64,-2923
4840,-2592,-6332,17076,666,-20942,173,-3198
4849,-2636,-6492,16824,664,-22605,338,-3409
4858,-2120,-6172,17096,659,-24854,507,-3504
4867,-1968,-6000,17164,656,-27454,808,-3536
4876,-2460,-6068,16480,665,-29963,1053,-3538
4885,-5656,-5644,13536,654,-31544,1008,-3657
4894,-4768,-6928,13964,668,-32600,965,-3790
4903,-5600,-7796,11964,658,-32768,869,-4036
5002,-240,-11656,7044,660,-32768,1512,-6807
5011,112,-13896,5456,648,-32768,1937,-6893
5020,492,-15468,3996,648,-32768,2253,-6931
5029,764,-16768,2416,647,-32768,2569,-6873
5038,268,-17684,176,654,-32768,2985,-6721
5047,-404,-17720,-1948,669,-32768,3488,-6499
5056,-792,-17940,-2924,649,-32768,3886,-6231
5065,-880,-19820,-3052,663,-32768,4327,-5886
5074,-1056,-23188,-3336,650,-32768,4884,-5386
5083,-796,-25864,-4032,645,-32768,5361,-4872
5182,1032,-16840,-7200,645,7766,6804,-870
5191,1812,-16848,-6840,628,5351,6759,-747
5200,2372,-16608,-5520,640,3043,6539,-577
5209,2572,-15004,-4824,658,931,6352,-359
5218,3164,-15160,-5520,646,-624,6295,-151
5227,3476,-15636,-6220,638,-1356,6270,102
5236,3056,-15180,-6052,642,-1480,6192,252
5245,2540,-14592,-6016,629,-1408,6170,456
5254,2244,-14636,-5960,637,-1220,6049,631
5263,2212,-14684,-5648,640,-1085,6072,851
5362,1908,-15160,-4652,641,3598,4724,2561
5371,1904,-14900,-4756,645,3339,4654,2392
5380,1920,-14764,-5040,629,3093,4557,2084
5389,1740,-14492,-5388,631,2863,4473,1757
5398,1264,-14108,-5664,625,2699,4432,1355
5407,1092,-14208,-5888,625,2780,4347,866
5416,964,-14284,-6476,632,2949,4225,372
5425,732,-14036,-6936,633,3105,4154,-103
5434,792,-14044,-7272,636,3275,3943,-616
5443,2280,-14592,-7956,621,3166,3677,-956
5542,620,-13420,-5164,623,1365,-975,-1369
5551,840,-13184,-4800,623,-272,-1397,-1288
5560,1108,-13364,-4512,623,-1790,-1867,-1199
5569,1208,-14044,-4408,644,-2873,-2178,-1091
5578,856,-14592,-4188,627,-3110,-2507,-926
5587,644,-14896,-4052,631,-2659,-2784,-771
5596,780,-14884,-3872,631,-2038,-3007,-611
5605,876,-15024,-3980,629,-1782,-3190,-402
5614,908,-15416,-3692,631,-1799,-3424,-219
5623,820,-15644,-3408,634,-1837,-3616,-24
5722,-616,-17072,-3224,627,-1514,-3566,2083
5731,-988,-17144,-2972,618,-1773,-3488,2160
5740,-1424,-17564,-2792,620,-2029,-3305,2240
5749,-1656,-17716,-3312,612,-2413,-3168,2429
5758,-1504,-17596,-2844,608,-2620,-3027,2561
5767,232,-17696,-2256,621,-2806,-3037,2734
5776,-2704,-18116,-5536,614,-3079,-2706,2849
5785,-2308,-17740,-5308,616,-3252,-2431,2916
5794,-2136,-17540,-4440,612,-3328,-2331,3029
5803,-2792,-17420,-4452,616,-3647,-2179,3125
5902,-1232,-15816,-6712,613,-3895,-333,4050
5911,-692,-15960,-7072,606,-3616,-279,4089
5920,-188,-15772,-7600,605,-2990,-191,4125
5929,400,-15216,-7988,603,-2330,-49,4205
5938,756,-14332,-7932,601,-1848,-19,4244
5947,860,-13452,-7732,601,-1567,28,4270
5956,948,-12400,-7612,614,-1825,116,4292
5965,872,-12112,-7100,610,-2508,170,4368
5974,752,-7660,-9104,606,-2311,13,3427
5983,1396,-12312,-10428,611,-2215,787,4419
6082,2544,-12232,-7912,617,-6768,-113,4065
6091,2468,-12168,-7716,610,-5942,-111,4037
6100,2120,-11944,-8028,603,-5083,-180,4021
6109,1760,-11792,-7624,593,-4529,-135,3970
6118,1244,-11668,-7368,590,-4482,-165,3938
6127,868,-11572,-6980,592,-4903,-240,3860
6136,428,-11668,-6840,597,-5678,-227,3805
