Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
322,0,0,0,0,0,0,0
333,3000,5176,16332,1568,2002,-742,-1859
342,2824,5372,16284,1522,-3213,614,-1424
351,2648,5724,16044,1519,-2268,1743,-803
360,2644,5988,15652,1494,-1860,1689,-811
369,2628,6112,14928,1477,-1434,1656,-802
378,2688,6008,14812,1463,-1021,1694,-749
387,2704,5920,14844,1454,-649,1635,-711
396,2832,5768,14732,1456,-332,1553,-696
405,2732,5752,14952,1448,-576,1531,-603
504,3744,5284,15288,1475,-8151,1575,778
513,3700,4384,14660,1380,-9654,1577,860
522,3592,4312,14400,1364,-10874,1655,962
531,3468,4536,14352,1388,-12145,1692,1055
540,3448,4612,14276,1371,-13614,1737,1111
549,3596,4624,14600,1349,-15236,1833,1194
558,3932,3612,14972,1334,-17059,1826,1253
567,3852,2276,14552,1411,-18242,1865,1299
576,3300,1336,13848,1361,-18626,2008,1379
585,2576,1008,13872,1417,-18329,2052,1418
684,-1036,-3036,15364,1368,-24290,3272,706
693,-216,-3520,15932,1368,-24966,3546,824
702,432,-4108,16044,1277,-25694,3561,851
711,-5248,1108,7968,1265,-20257,3311,736
720,-124,-2252,19260,1263,-18049,2480,-435
729,-1436,-1264,19560,1259,-26017,2788,-602
738,-1380,-640,18276,1286,-32768,3935,-913
747,-2144,-3692,17712,1263,-32768,4395,-1329
756,40,-7128,17884,1255,-32768,4867,-1607
765,3624,-7960,16728,1246,-32768,5548,-1508
864,-8064,-12504,1720,1249,-21714,5287,1907
873,-5760,-13964,7468,1249,-22389,4559,1992
882,-4388,-12916,11816,1211,-22503,3980,2008
891,-4052,-12052,9860,1233,-21691,3948,1683
900,-3600,-13148,11672,1208,-20343,4276,1351
909,-2748,-13032,11816,1200,-19691,4592,1155
918,-1400,-12140,10820,1197,-20173,4823,959
927,-272,-11760,10512,1254,-21976,4863,869
936,1208,-11672,9828,1244,-25294,4792,824
945,1592,-10864,8420,1229,-30456,4614,772
1044,-2520,-20660,5112,1225,2403,4003,947
1053,-2036,-17812,4804,1225,4473,3580,853
1062,-760,-18308,5848,1198,4896,3092,884
1071,-68,-18688,6448,1194,3774,2753,1138
1080,-1104,-15800,6712,1167,1476,2381,1599
1089,-2560,-15068,3872,1199,-2325,1986,1959
1098,-3304,-16192,3824,1193,-4972,1472,2262
1107,-3980,-17076,4144,1212,-7115,1019,2615
1116,-4680,-17556,4360,1176,-9597,666,3133
1125,-5592,-17232,4224,1180,-12087,279,3713
1224,-5924,-25664,5128,1207,-2858,-4817,8181
1233,-6240,-26624,4016,1207,-843,-5278,8584
1242,-5236,-26820,4640,1126,1306,-5791,9125
1251,-5008,-25892,4352,1138,2415,-6515,9661
1260,-2716,-24044,-1032,1137,2321,-7084,10233
1269,-3840,-22608,-4516,1113,1274,-7620,10738
1278,-9116,-26256,5140,1149,3275,-8939,11753
1287,-4944,-17696,11588,1116,2479,-10487,11947
1296,-8048,-28560,6208,1165,8657,-11472,13355
1305,-6488,-27272,4608,1114,12478,-12289,14201
1404,392,-4832,4236,1106,22281,-12207,20852
1413,864,-3524,3688,1088,20816,-11578,20747
1422,1196,-2248,2824,1152,19146,-10783,20595
