Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
281,0,0,0,0,0,0,0
292,88,6644,15420,1,8024,-2586,118
301,148,7140,15124,4,3259,-1483,775
310,720,8144,15564,2,2563,-607,1554
319,1136,8240,15716,1,926,-481,1651
328,1524,7604,15508,2,-144,-445,1668
337,1288,7432,15628,3,-921,-305,1697
346,964,7588,15996,2,-1632,-227,1717
355,876,7388,15812,2,-2089,-194,1676
364,348,7280,16156,0,-2698,-60,1636
373,372,6980,16088,3,-3089,-20,1568
382,604,7000,15872,3,-3581,105,1478
391,596,6808,15876,3,-3686,138,1368
400,324,6800,15748,3,-4078,363,1277
409,304,6952,15904,3,-4431,426,1147
418,236,6784,15816,3,-4877,574,1050
427,16,6704,15876,3,-5301,654,916
436,-92,6920,15472,3,-6141,765,833
445,-164,6736,15544,3,-6873,779,721
454,-564,6436,15776,3,-7531,880,668
463,-564,6372,15696,2,-7686,882,592
472,-472,6312,15656,2,-7612,915,559
481,-596,5868,15696,2,-7121,873,499
490,-816,6128,15440,2,-6791,935,473
499,-560,6424,15492,2,-6762,837,475
508,-600,6128,15468,2,-6852,804,492
517,-768,6064,15212,2,-7272,720,517
526,-616,6284,14936,2,-8063,635,590
535,-316,6472,15100,1,-9198,514,640
544,-220,6004,15148,2,-10161,489,762
553,-428,5212,15188,1,-10817,288,837
562,-584,4808,15532,1,-11071,163,958
571,-564,4524,15916,1,-11382,-38,1082
580,-384,4456,16388,1,-11444,-187,1210
589,-172,4240,16840,1,-11375,-447,1340
598,-268,3332,17448,1,-10453,-685,1454
607,524,2412,17216,1,-9388,-933,1576
616,-792,2116,17268,2,-8523,-1197,1670
625,-632,2148,17356,2,-7642,-1432,1741
634,-856,2624,17032,2,-7399,-1727,1803
643,-832,2716,17072,3,-8076,-1943,1891
652,-940,2336,16968,3,-9212,-2187,1930
661,-1184,2152,16984,3,-10576,-2360,2025
670,-1312,1912,17232,3,-11557,-2669,2101
679,-1468,1132,17132,3,-12038,-2822,2232
688,-1304,456,16840,3,-11620,-3031,2356
697,-880,84,16504,3,-10989,-3189,2548
706,-744,472,16148,3,-10351,-3242,2737
715,-672,816,16284,3,-10030,-3379,2919
724,-328,1192,16492,4,-9754,-3417,3158
733,952,4716,14340,2,-9447,-3648,3417
742,2996,4568,13384,2,-9086,-4339,3293
751,3380,6724,8628,2,-8761,-5733,3000
760,-20,5808,7580,2,-8340,-6729,2562
769,836,1700,17072,2,-6261,-7226,2454
778,1188,-2192,16276,2,-3512,-7996,2444
787,220,-5936,7996,2,-1515,-8693,2767
796,-1872,-11720,17788,2,-1377,-9408,3874
805,-1300,2000,32767,2,-752,-8961,4581
814,-2916,4188,32767,3,-1930,-8628,5392
823,3484,16356,23844,2,1612,-7088,5146
832,6760,19488,26316,2,7468,-6460,3644
841,9196,7732,26832,2,8174,-5729,2659
850,1024,-6584,11900,2,5767,-4819,3135
859,-4096,-3976,13116,2,1664,-4675,4061
868,476,1936,22984,2,-2119,-4121,4460
877,4472,2496,18900,2,-5156,-3211,4655
886,4688,2188,13796,4,-7615,-2888,4897
895,4756,2228,17536,3,-10310,-2596,5144
904,4936,-484,19992,2,-12781,-2239,5472
913,6064,-960,17152,4,-13377,-1948,5931
922,7388,-3408,16680,4,-11242,-1889,6280
931,6372,-5264,17800,4,-6600,-1884,6746
940,5764,-4308,18252,4,-3090,-1823,7211
949,6220,-408,15908,4,-2532,-1854,7517
958,5676,3540,15316,4,-5530,-1831,7613
967,3588,3572,16940,4,-11123,-1965,7563
976,3484,2208,16008,4,-16557,-2014,7430
985,4264,292,14656,1,-20165,-2294,7288
994,4140,-2300,15972,2,-20800,-2538,7078
1003,3392,-5096,17004,4,-19095,-2802,6928
1012,3168,-6416,16164,4,-15796,-2984,6730
1021,2720,-6684,15444,4,-12490,-3159,6560
1030,1920,-5916,16564,4,-9786,-3241,6283
1039,1664,-5220,16540,4,-8484,-3221,5983
1048,2464,-4232,15784,4,-8290,-3203,5596
1057,3004,-3936,15924,4,-9453,-3123,5235
1066,3168,-4936,17056,4,-10873,-3060,4846
1075,2852,-6772,17300,2,-11444,-2862,4477
1084,2416,-8784,16608,2,-9836,-2837,4157
1093,2708,-10016,16444,0,-6291,-2758,3876
1102,2984,-10016,16540,0,-2138,-2706,3563
1111,2852,-8572,15640,0,502,-2578,3295
1120,3340,-5368,15536,0,51,-2612,2976
1129,4220,-3436,16132,0,-3819,-2410,2565
1138,4540,-4420,16760,0,-8368,-2342,2149
